title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Насос Hyundai R250LC-7,hyundai,R250LC-7,,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,,250,hyundai,R 250LC-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Патрубок радиатора экскаватора Volvo,volvo,,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,,volvo,ECR 58D,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Фильтра экскаватора hyundai,hyundai,,,,,запчасти двигателя,фильтра,!,,,,,,hyundai,R 210NLC-9S,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Джойстик управления левый/правый Doosan Solar 225,doosan,SOLAR 225LL,,,,гидравлический компонент,джойстик,,,целиком,,,225,doosan,SOLAR 225NLC-V,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Радиатор отопителя кабины Komatsu PC-300,komatsu,PC300,,,,система двигателя,радиатор,радиатор печки,,,,,300,komatsu,PC300,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Редуктор хода Volvo EC 460,volvo,EC460,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,460,volvo,EC460,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Корпус редуктора/ступица CAT 320,cat,320,,,,гидравлический компонент,редуктор,!,,запчасти,корпус,,320,cat,320,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ножи бульдозера CAT D6,cat,D6,,,,рабочее оборудование,ковшевой узел,режущий инструмент,нож,,,,6,cat,206,Для навесного оборудования,,,2024-02-03
Бортовая Komatsu PC 200,komatsu,PC200,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,200,komatsu,PC200,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гбц экскаватора Hyundai,hyundai,,,,,запчасти двигателя,головка блока цилиндров,,,,,,,hyundai,ROBEX 180 LC,Двигатели и комплектующие,"Блоки цилиндров, ГБЦ и картеры",,2024-02-03
Топливный насос тнвд JCB220,jcb,JS 220,,,,система двигателя,топливная система,насос топливный,,целиком,,,220,jcb,JS 220,Двигатели и комплектующие,Топливная система,,2024-02-03
Генератор Komatsu PC200-7,komatsu,PC200-7,,,,запчасти двигателя,генератор,,,,,,200,komatsu,PC200-7,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Запчасти бортового редуктора CAT 324,cat,324d,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,324,cat,324D L,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Панель приборов/Монитор Doosan Solar,doosan,,,,,электрическая система,монитор,,,,,,,doosan,Daewoo SOLAR 220LC-V SLR,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
Джойстик левый гидравлический Hyundai R210 LC-7,hyundai,R210LC-7,,,,гидравлический компонент,джойстик,,,целиком,,,210,hyundai,R 210LC-7,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Ремень JCB 220,jcb,JS 220,,,,!,ремень,,,,,,220,jcb,JS 220,Гидравлические и пневмосистемы,"Шланги, трубки, патрубки",,2024-02-03
Блок цилиндров Doosan Solar 225LC-V,doosan,SOLAR 225NLC-V,,,,!,блок цилиндров,,,,,,225,doosan,SOLAR 225NLC-V,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Джойстик управления экскаватора Doosan Solar,doosan,,,,,гидравлический компонент,джойстик,,,целиком,,,,doosan,Daewoo SOLAR 015 Plus,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Гидромотор поворота Hyundai R260-9S,hyundai,R260LC-9S,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,260,hyundai,R 260LC-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Запчасти гидромотора хода Hyundai R170W-7,hyundai,R170W-7,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,!,,170,hyundai,R170W-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидромотор хода Doosan Solar 500LC-V,doosan,SOLAR 500LC-V,,,,гидравлический компонент,гидромотор,гидромотор хода,,целиком,,,500,doosan,SOLAR 500LC-V,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Поворотный редуктор Volvo EC360,volvo,EC360,,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,,360,volvo,EC360,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Крестовина кардана Volvo BL71,volvo,BL71,,,,!,крестовина,,,,,,71,volvo,BL71,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Моторчик отопителя Volvo EC220,volvo,EC220DL,,,,система двигателя,печка,,,запчасти,мотор печки,,220,volvo,EC220DL,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Реле стеклоочистителя Hyundai R250,hyundai,R250,,,,гидравлический компонент,гидромотор,гидромотор поворота,,запчасти,датчик давления,,250,hyundai,R 250LC-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
